ticker,buffett_score,alpha_adj,conviction,verdict,material_killers
HD,5.4,0.0,LOW,Pass,1
HBAN,5.4,0.0,LOW,Pass,1
J,5.4,0.0,LOW,Pass,2
TMO,5.4,0.0,LOW,Pass,1
ALGN,5.3,0.0,LOW,Pass,1
AEP,5.3,0.0,LOW,Pass,2
AJG,5.3,0.0,LOW,Pass,1
AXON,5.3,0.0,LOW,Pass,1
BLDR,5.3,0.0,LOW,Pass,1
CNP,5.3,0.0,LOW,Pass,2
C,5.3,0.0,LOW,Pass,1
DVN,5.3,0.0,LOW,Pass,1
FRT,5.3,0.0,LOW,Pass,1
GD,5.3,0.0,LOW,Pass,1
INVH,5.3,0.0,LOW,Pass,2
L,5.3,0.0,LOW,Pass,0
NI,5.3,0.0,LOW,Pass,2
TFC,5.3,0.0,LOW,Pass,1
ABBV,5.2,0.0,LOW,Pass,1
ARE,5.2,0.0,LOW,Pass,1
APH,5.2,0.0,LOW,Pass,2
AVY,5.2,0.0,LOW,Pass,1
BIIB,5.2,0.0,LOW,Pass,1
CEG,5.2,0.0,LOW,Pass,1
DTE,5.2,0.0,LOW,Pass,2
EA,5.2,0.0,LOW,Pass,1
EVRG,5.2,0.0,LOW,Pass,2
FTV,5.2,0.0,LOW,Pass,2
GE,5.2,0.0,LOW,Pass,1
HAS,5.2,0.0,LOW,Pass,1
IQV,5.2,0.0,LOW,Pass,1
JCI,5.2,0.0,LOW,Pass,1
LMT,5.2,0.0,LOW,Pass,1
NSC,5.2,0.0,LOW,Pass,1
PFE,5.2,0.0,LOW,Pass,1
PEG,5.2,0.0,LOW,Pass,2
SRE,5.2,0.0,LOW,Pass,2
VMC,5.2,0.0,LOW,Pass,1
WMB,5.2,0.0,LOW,Pass,2
MMM,5.1,0.0,LOW,Pass,1
ACN,5.1,0.0,LOW,Pass,2
A,5.1,0.0,LOW,Pass,1
AIG,5.1,0.0,LOW,Pass,1
BDX,5.1,0.0,LOW,Pass,1
COF,5.1,0.0,LOW,Pass,0
CASY,5.1,0.0,LOW,Pass,1
DLTR,5.1,0.0,LOW,Pass,1
IBM,5.1,0.0,LOW,Pass,3
REG,5.1,0.0,LOW,Pass,2
ROK,5.1,0.0,LOW,Pass,1
WAT,5.1,0.0,LOW,Pass,2
ALB,5.0,0.0,LOW,Pass,1
CCI,5.0,0.0,LOW,Pass,2
FDXF,5.0,0.0,LOW,Pass,1
HAL,5.0,0.0,LOW,Pass,1
LDOS,5.0,0.0,LOW,Pass,2
LYB,5.0,0.0,LOW,Pass,1
NVR,5.0,0.0,LOW,Pass,1
TDY,5.0,0.0,LOW,Pass,2
TXT,5.0,0.0,LOW,Pass,1
CSX,4.9,0.0,LOW,Pass,1
CMI,4.9,0.0,LOW,Pass,1
DAL,4.9,0.0,LOW,Pass,1
ETR,4.9,0.0,LOW,Pass,2
IEX,4.9,0.0,LOW,Pass,1
IFF,4.9,0.0,LOW,Pass,1
JBL,4.9,0.0,LOW,Pass,1
KEY,4.9,0.0,LOW,Pass,1
KEYS,4.9,0.0,LOW,Pass,2
LH,4.9,0.0,LOW,Pass,1
NDSN,4.9,0.0,LOW,Pass,1
ODFL,4.9,0.0,LOW,Pass,1
STX,4.9,0.0,LOW,Pass,2
TKO,4.9,0.0,LOW,Pass,0
TRMB,4.9,0.0,LOW,Pass,2
UPS,4.9,0.0,LOW,Pass,1
FITB,4.8,0.0,LOW,Pass,1
FISV,4.8,0.0,LOW,Pass,1
HPQ,4.8,0.0,LOW,Pass,2
LRCX,4.8,0.0,LOW,Pass,2
MGM,4.8,0.0,LOW,Pass,1
NEE,4.8,0.0,LOW,Pass,2
NKE,4.8,0.0,LOW,Pass,0
NCLH,4.8,0.0,LOW,Pass,2
NXPI,4.8,0.0,LOW,Pass,2
PHM,4.8,0.0,LOW,Pass,1
TTWO,4.8,0.0,LOW,Pass,0
TGT,4.8,0.0,LOW,Pass,1
UBER,4.8,0.0,LOW,Pass,2
AMAT,4.7,0.0,LOW,Pass,2
AVB,4.7,0.0,LOW,Pass,2
BKR,4.7,0.0,LOW,Pass,1
CDW,4.7,0.0,LOW,Pass,2
CFG,4.7,0.0,LOW,Pass,1
CTSH,4.7,0.0,LOW,Pass,2
DD,4.7,0.0,LOW,Pass,1
EXR,4.7,0.0,LOW,Pass,2
PLD,4.7,0.0,LOW,Pass,2
DGX,4.7,0.0,LOW,Pass,1
LUV,4.7,0.0,LOW,Pass,0
SWK,4.7,0.0,LOW,Pass,2
AMD,4.6,0.0,LOW,Pass,2
AKAM,4.6,0.0,LOW,Pass,2
APTV,4.6,0.0,LOW,Pass,1
CI,4.6,0.0,LOW,Pass,0
DG,4.6,0.0,LOW,Pass,2
EL,4.6,0.0,LOW,Pass,1
HST,4.6,0.0,LOW,Pass,0
HII,4.6,0.0,LOW,Pass,1
KR,4.6,0.0,LOW,Pass,1
LYV,4.6,0.0,LOW,Pass,1
MLM,4.6,0.0,LOW,Pass,1
TAP,4.6,0.0,LOW,Pass,1
MSCI,4.6,0.0,LOW,Pass,0
NOC,4.6,0.0,LOW,Pass,1
NUE,4.6,0.0,LOW,Pass,0
PANW,4.6,0.0,LOW,Pass,2
PSA,4.6,0.0,LOW,Pass,1
TEL,4.6,0.0,LOW,Pass,2
UDR,4.6,0.0,LOW,Pass,2
DIS,4.6,0.0,LOW,Pass,1
XYZ,4.5,0.0,LOW,Pass,2
EW,4.5,0.0,LOW,Pass,1
ESS,4.5,0.0,LOW,Pass,2
EXPD,4.5,0.0,LOW,Pass,1
FIS,4.5,0.0,LOW,Pass,3
IVZ,4.5,0.0,LOW,Pass,1
OMC,4.5,0.0,LOW,Pass,1
PKG,4.5,0.0,LOW,Pass,0
SWKS,4.5,0.0,LOW,Pass,2
TER,4.5,0.0,LOW,Pass,2
TXN,4.5,0.0,LOW,Pass,2
VLO,4.5,0.0,LOW,Pass,1
VTRS,4.5,0.0,LOW,Pass,1
ZBRA,4.5,0.0,LOW,Pass,2
CVNA,4.4,0.0,LOW,Pass,0
DLR,4.4,0.0,LOW,Pass,2
GNRC,4.4,0.0,LOW,Pass,0
MPC,4.4,0.0,LOW,Pass,1
MPWR,4.4,0.0,LOW,Pass,1
COIN,4.3,0.0,LOW,Pass,1
FLEX,4.3,0.0,LOW,Pass,2
STLD,4.3,0.0,LOW,Pass,1
CHRW,4.2,0.0,LOW,Pass,1
CIEN,4.2,0.0,LOW,Pass,2
DDOG,4.2,0.0,LOW,Pass,3
GPC,4.2,0.0,LOW,Pass,1
HPE,4.2,0.0,LOW,Pass,2
MCHP,4.2,0.0,LOW,Pass,2
NRG,4.2,0.0,LOW,Pass,1
TSN,4.2,0.0,LOW,Pass,0
WST,4.2,0.0,LOW,Pass,1
AMCR,4.1,0.0,LOW,Pass,2
CARR,4.1,0.0,LOW,Pass,1
MDLZ,4.1,0.0,LOW,Pass,2
PCAR,4.1,0.0,LOW,Pass,1
PSKY,4.1,0.0,LOW,Pass,1
PSX,4.1,0.0,LOW,Pass,1
PWR,4.1,0.0,LOW,Pass,1
AES,4.0,-0.2,AVOID,Avoid,2
BALL,4.0,-0.2,AVOID,Avoid,1
CAG,4.0,-0.2,AVOID,Avoid,2
DE,4.0,-0.2,AVOID,Avoid,2
DHI,4.0,-0.2,AVOID,Avoid,1
GM,4.0,-0.2,AVOID,Avoid,2
MAA,4.0,-0.2,AVOID,Avoid,2
RTX,4.0,-0.2,AVOID,Avoid,1
RVTY,4.0,-0.2,AVOID,Avoid,1
SW,4.0,-0.2,AVOID,Avoid,1
WDC,4.0,-0.2,AVOID,Avoid,2
ADM,3.9,-0.21,AVOID,Avoid,2
BAX,3.9,-0.21,AVOID,Avoid,2
BG,3.9,-0.21,AVOID,Avoid,2
CBRE,3.9,-0.21,AVOID,Avoid,2
DOW,3.9,-0.21,AVOID,Avoid,2
ELV,3.9,-0.21,AVOID,Avoid,1
F,3.9,-0.21,AVOID,Avoid,2
IP,3.9,-0.21,AVOID,Avoid,1
LEN,3.9,-0.21,AVOID,Avoid,1
MOS,3.9,-0.21,AVOID,Avoid,1
TECH,3.8,-0.22,AVOID,Avoid,2
BXP,3.8,-0.22,AVOID,Avoid,2
CNC,3.8,-0.22,AVOID,Avoid,2
ECHO,3.8,-0.22,AVOID,Avoid,2
HSIC,3.8,-0.22,AVOID,Avoid,1
ON,3.8,-0.22,AVOID,Avoid,2
Q,3.8,-0.22,AVOID,Avoid,2
CRL,3.7,-0.22,AVOID,Avoid,1
CRWD,3.7,-0.22,AVOID,Avoid,2
CVS,3.7,-0.22,AVOID,Avoid,2
MRNA,3.7,-0.22,AVOID,Avoid,2
HRL,3.6,-0.23,AVOID,Avoid,1
IRM,3.6,-0.23,AVOID,Avoid,2
MRVL,3.6,-0.23,AVOID,Avoid,2
VTR,3.6,-0.23,AVOID,Avoid,2
CPT,3.5,-0.24,AVOID,Avoid,1
GEV,3.5,-0.24,AVOID,Avoid,1
JBHT,3.5,-0.24,AVOID,Avoid,0
WBD,3.5,-0.24,AVOID,Avoid,1
EQIX,3.3,-0.25,AVOID,Avoid,2
LITE,3.3,-0.25,AVOID,Avoid,3
TSLA,3.3,-0.25,AVOID,Avoid,0
WELL,3.3,-0.25,AVOID,Avoid,2
DOC,3.2,-0.26,AVOID,Avoid,2
INTC,3.2,-0.26,AVOID,Avoid,1
SBUX,3.2,-0.26,AVOID,Avoid,2
COHR,3.1,-0.27,AVOID,Avoid,1
HUM,3.0,-0.28,AVOID,Avoid,2
UNH,2.9,-0.28,AVOID,Avoid,1
BA,2.6,-0.3,AVOID,Avoid,1
WY,2.6,-0.3,AVOID,Avoid,2
GLW,2.1,-0.34,AVOID,Avoid,2
